,mean,std
0,0.07899080545822357,0.03530683473998814
1,0.010754146837808547,0.011977736696598767
2,0.049557252643970776,0.020837566841524022
3,0.06740158977088964,0.03047711660831502
4,0.04212887729910455,0.02139807266148354
5,0.06720823356204503,0.025568215580115596
6,0.019222870593106352,0.013025976243591314
7,0.07065687020446466,0.030626049368290352
8,0.05829384867720905,0.03507323769838134
9,0.1078596093527459,0.033155930815774365
10,0.024748150962759688,0.012882266080934032
11,0.04065030696383949,0.023122774629644387
12,0.04097609269542819,0.020730877189404022
13,0.03351890621289014,0.02193178367981492
14,0.054025136494236195,0.029627991330635012
15,0.06376186728015673,0.0233303644735614
16,0.05042409830623035,0.01983009650940648
17,0.07248601164272268,0.02547677553220455
18,0.012727303812648952,0.010793012714916764
19,0.034422438818637734,0.017503553677929815
20,0.267011915151678,0.27170527768113667
21,0.18250935387081144,0.2396114086492315
22,0.15138370075494642,0.21383251533321307
23,0.11773486631080136,0.18157697613772952
24,0.117189219578946,0.17127534376282355
25,0.09985844433280006,0.1848585376198569
26,0.49409375,0.49997292713186553
27,0.29633136873458044,0.3211858125188689
28,0.2914810230219185,0.34348074411625
29,0.24353135824349925,0.30623566954956627
30,0.1169588424148599,0.04071064779060716
31,0.13154185576455224,0.0393183295494525
32,0.5177819549901528,0.07447795600479074
33,0.1494775832189268,0.03854122045021969
34,0.39720153022020915,0.06569282045032802
35,0.10850149052349825,0.03452109343368125
36,0.24850069817941717,0.06739674097414625
37,1.269897984162271,0.8161938328352085
38,1.1347167494299344,0.4247729813975342
39,0.17820267138562373,0.05439180932788419
40,0.34147833223564295,0.12201179507166034
41,0.18830375452699133,0.044472684486396
42,3.4031442206442457,3.656568902005128
43,0.04092264882318953,0.0940711418538178
44,0.4195789600963518,0.056500427880249705
45,0.2509369989958564,0.05865178663872022
46,0.09998135095020134,0.028074011496443577
47,193.523122826658,6.162849158275766
48,41.66605184374994,31.722132546151116
49,40.90121392112989,1.5537163310117166
